fishID,half,prePost,largeMalePosition,fishName,round,treatment,transits,center,left_screen,left_side,plant,right_screen,right_side,latency_plant,latency_right_screen,latency_left_screen,trial_dur,center_prop,left screen_prop,left side_prop,plant_prop,right screen_prop,right side_prop,center_p,left screen_p,left side_p,plant_p,right screen_p,right side_p
fid17,p1,pre,none,amanda,2,INT,48.5,18.417,69.136,34.969,0.4,129.1295,47.179,244.9825,1.2995,19.95,299.2305,0.06154787,0.231045966,0.116863087,0.001336762,0.431538563,0.157667751,0.06154787,0.231045966,0.116863087,0.001336762,0.431538563,0.157667751
fid17,p2,post,right,amanda,2,INT,9,0,0,0,0,286.394,11.208,300,1.416,300,297.602,0,0,0,0,0.962338963,0.037661037,0,0,0,0,0.962338963,0.037661037
fid17,p2,pre,right,amanda,2,INT,18,4.4,240.9355,39.9065,0,6.539,4.9425,300,8.2975,24.354,296.7235,0.01482862,0.81198658,0.134490527,0,0.022037351,0.016656921,0.01482862,0.81198658,0.134490527,0,0.022037351,0.016656921
fid17,p3,post,left,amanda,2,INT,11,0,0,0,0,288.7855,10.8095,300,0.329,300,299.595,0,0,0,0,0.963919625,0.036080375,0,0,0,0,0.963919625,0.036080375
fid17,p3,pre,left,amanda,2,INT,30,25.041,21.8725,36.6545,3.406,184.9935,23.086,57.8835,24.5435,0.677,295.0535,0.084869354,0.074130624,0.124230013,0.011543669,0.626982903,0.078243437,0.084869354,0.074130624,0.124230013,0.011543669,0.626982903,0.078243437
fid27,p1,post,none,amber,3,SS,9,1.603,0,0,127.116,60.228,108.118,172.87,5.166,300,297.065,0.005396125,0,0,0.42790635,0.202743507,0.363954017,0.005396125,0,0,0.42790635,0.202743507,0.363954017
fid27,p2,post,right,amber,3,SS,21,0.5345,178.0185,42.1385,59.3395,0,17.7015,2.4815,300,93.206,297.7325,0.001795236,0.597914235,0.141531408,0.199304745,0,0.059454376,0.001795236,0.597914235,0.141531408,0.199304745,0,0.059454376
fid27,p3,post,left,amber,3,SS,26.5,15.8115,21.8545,9.3435,204.628,9.3815,36.334,2.18,93.801,121.563,297.353,0.053174173,0.07349682,0.031422249,0.688165245,0.031550043,0.122191469,0.053174173,0.07349682,0.031422249,0.688165245,0.031550043,0.122191469
fid25,p1,post,none,amy,4,FF,29,8.103,193.405,32.995,53.472,6.132,5.738,0.023,74.365,34.381,299.845,0.027023962,0.645016592,0.110040187,0.178332138,0.020450566,0.019136554,0.027023962,0.645016592,0.110040187,0.178332138,0.020450566,0.019136554
fid25,p1,pre,none,amy,4,FF,46,7.4735,209.2405,38.5415,2.535,23.778,17.19,61.735,1.2405,24.4635,298.7585,0.025015188,0.700366684,0.129005535,0.008485114,0.079589367,0.057538112,0.025015188,0.700366684,0.129005535,0.008485114,0.079589367,0.057538112
fid25,p2,post,left,amy,4,FF,34,9.217,119.106,37.906,11.872,99.434,19.952,139.158,129.142,0.108,297.487,0.030982866,0.400373798,0.127420694,0.039907626,0.334246539,0.067068477,0.030982866,0.400373798,0.127420694,0.039907626,0.334246539,0.067068477
fid25,p2,pre,right,amy,4,FF,25.5,1.5345,161.5385,5.5395,0,127.0095,3.8725,300,170.128,0.713,299.4945,0.005123633,0.539370506,0.018496166,0,0.424079574,0.012930121,0.005123633,0.539370506,0.018496166,0,0.424079574,0.012930121
fid25,p3,post,right,amy,4,FF,31,0,87.314,18.988,66.032,105.204,18.276,48.065,0.023,89.995,295.814,0,0.295165205,0.064188984,0.223221349,0.355642397,0.061782066,0,0.295165205,0.064188984,0.223221349,0.355642397,0.061782066
fid25,p3,pre,left,amy,4,FF,59,10.3975,34.4745,35.162,14.7,168.913,36.9335,155.282,0.1945,157.234,300.5805,0.034591399,0.114693069,0.11698031,0.048905368,0.561955949,0.122873906,0.034591399,0.114693069,0.11698031,0.048905368,0.561955949,0.122873906
fid12,p1,post,none,andrea,3,SS,24,30.694,6.273,23.725,195.526,10.943,33.899,2.148,171.366,84.065,301.06,0.101953099,0.020836378,0.078804889,0.64945858,0.036348236,0.112598818,0.101953099,0.020836378,0.078804889,0.64945858,0.036348236,0.112598818
